level,region1,region2,region3,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
REGION,서울시,영등포구,,99-131,5,27.00,6,27.00,+0.0%,4,27.00,+0.0%,3,27.00,+0.0%
REGION,서울시,영등포구,,ALL_BINS,27,25.25,27,25.44,+0.7%,14,25.58,+0.6%,14,25.24,-0.8%
REGION,서울시,용산구,,33-65,14,25.92,13,26.01,+0.3%,5,26.30,+1.1%,6,26.12,+0.4%
REGION,서울시,용산구,,66-98,15,30.68,14,30.71,+0.1%,8,30.19,-1.7%,9,30.28,-1.4%
REGION,서울시,용산구,,99-131,4,34.24,5,34.39,+0.4%,5,34.39,+0.0%,4,34.24,-0.4%
REGION,서울시,용산구,,ALL_BINS,33,29.09,32,29.38,+1.0%,18,30.28,+3.1%,19,29.80,+1.4%
REGION,서울시,중구,,33-65,3,20.67,2,20.50,-0.8%,0,,,1,21.00,+2.4%
REGION,서울시,중구,,66-98,21,19.38,23,19.85,+2.4%,17,19.29,-2.8%,15,18.56,-6.5%
REGION,서울시,중구,,ALL_BINS,24,19.54,25,19.90,+1.8%,17,19.29,-3.0%,16,18.71,-6.0%
REGION,서울시,중랑구,,33-65,3,12.33,2,12.50,+1.4%,1,12.50,+0.0%,2,12.25,-2.0%
REGION,서울시,중랑구,,66-98,20,13.74,9,13.89,+1.1%,4,14.12,+1.7%,15,13.83,-0.4%
REGION,서울시,중랑구,,99-131,6,17.08,7,17.29,+1.2%,5,17.50,+1.2%,4,17.25,-0.2%
REGION,서울시,중랑구,,ALL_BINS,29,14.29,18,15.06,+5.4%,10,15.65,+3.9%,21,14.33,-4.8%
